,id,trait,sample_size,nsnp,year,consortium,author,note,group_name,mr,sex,pmid,priority,population,unit,build,category,subcategory,ontology,ncase,ncontrol,sd
11718,ukb-b-17612,"Heel bone ultrasound T-score, manual entry",40613,9851867,2018,MRC-IEU,Ben Elsworth,77: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
11722,ukb-b-11572,Diagnoses - main ICD10: N92.0 Excessive and frequent menstruation with regular cycle,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#N920: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,6641,456369,NA
11724,ukb-b-7150,"Non-cancer illness code, self-reported: urinary tract infection/kidney infection",462933,9851867,2018,MRC-IEU,Ben Elsworth,20002#1196: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2163,460770,NA
11739,ukb-d-M13_DORSALGIANAS,Other/unspecified dorsalgia,361194,10546673,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,2118,359076,NA
11744,ukb-b-10821,External causes: W01.9 Unspecified place,463010,9851867,2018,MRC-IEU,Ben Elsworth,41201#W019: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1079,461931,NA
11752,ukb-b-8778,Pulse wave peak to peak time,151466,9851867,2018,MRC-IEU,Ben Elsworth,4196: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
11770,ukb-d-6072_1,OCT measured (left): Measurable,54601,13547122,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,46729,7872,NA
11772,ukb-b-16407,Trunk fat percentage,454613,9851867,2018,MRC-IEU,Ben Elsworth,23127: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
11775,ukb-b-15832,PCT where patients GP was registered: EASTERN BIRMINGHAM PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5MY: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1188,461822,NA
11778,ukb-a-385,Tinnitus: Yes  but not now  but have in the past,109411,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,12076,97335,NA
11781,ukb-d-22617_3111,Job SOC coding: Laboratory technicians,91149,10901509,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,2602,88547,NA
11783,ukb-b-17133,Operative procedures - secondary OPCS: Z84.3 Hip joint,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#Z843: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2593,460417,NA
11789,ukb-b-12236,Avocado intake,64946,9851867,2018,MRC-IEU,Ben Elsworth,104100: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
11804,ukb-b-15445,Treatment/medication code: insulin product,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1140883066: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4537,458396,NA
11818,ukb-b-18593,Vitamin D,64979,9851867,2018,MRC-IEU,Ben Elsworth,100021: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
11823,ukb-b-19409,Diagnoses - secondary ICD10: R10.4 Other and unspecified abdominal pain,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#R104: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4649,458361,NA
11825,ukb-d-J45,Diagnoses - main ICD10: J45 Asthma,361194,10336532,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1693,359501,NA
11861,ukb-b-13151,Operative procedures - main OPCS: W20.5 Primary open reduction of fracture of ankle and extramedullary fixation NEC,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#W205: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1307,461703,NA
11866,ukb-b-17599,Operative procedures - main OPCS: M42.1 Endoscopic resection of lesion of bladder,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#M421: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1403,461607,NA
11887,ukb-a-538,Diagnoses - main ICD10: I83 Varicose veins of lower extremities,337199,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,6958,330241,NA
11920,ukb-d-22601_72123243,"Job coding: customer care adviser/officer/assistant, store guide, customer relations officer/representative",89866,9614713,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1213,88653,NA
11925,ukb-b-5946,Diagnoses - main ICD10: S82.80 Fractures of other parts of lower leg (closed),463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#S8280: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1479,461531,NA
11940,ukb-a-533,Diagnoses - main ICD10: I21 Acute myocardial infarction,337199,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,3927,333272,NA
11944,ukb-d-4979,FI5 : family relationship calculation,113356,13567322,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,55922,57434,NA
11948,ukb-b-6306,Overall health rating,460844,9851867,2018,MRC-IEU,Ben Elsworth,2178: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
11967,ukb-b-29,Porridge intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,100770: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
11987,ebi-a-GCST007090,Knee osteoarthritis,403124,29999696,2019,NA,Tachmazidou I,NA,public,1,NA,30664745,0,European,NA,HG19/GRCh37,NA,NA,NA,24955,378169,NA
11993,ukb-b-4286,PCT where patients GP was registered: SHEFFIELD SOUTH WEST PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5EP: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2654,460356,NA
12017,ukb-b-10145,PCT where patients GP was registered: NORTH BRADFORD PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5CH: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1101,461909,NA
12027,ukb-d-G57,Diagnoses - main ICD10: G57 Mononeuropathies of lower limb,361194,9584367,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1111,360083,NA
12044,ukb-b-10093,Tense / 'highly strung',447961,9851867,2018,MRC-IEU,Ben Elsworth,1990: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,78408,369553,NA
12049,ukb-b-13806,"Non-cancer illness code, self-reported: type 2 diabetes",462933,9851867,2018,MRC-IEU,Ben Elsworth,20002#1223: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2972,459961,NA
12052,ukb-d-22617_7111,Job SOC coding: Sales and retail assistants,91149,11921480,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,4672,86477,NA
12065,ukb-b-12433,Operative procedures - main OPCS: N30.3 Circumcision,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#N303: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1954,461056,NA
12066,ukb-d-XVIII_MISCFINDINGS,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",361194,13586589,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,97602,263592,NA
12087,met-c-840,Alanine,24796,12091566,2016,NA,Kettunen,SD value comes from the original untransformed distribution of the ERF cohort,public,1,Males and Females,27005778,1,European,SD,HG19/GRCh37,Metabolites,Amino acid,NA,NA,NA,0.2
12114,ukb-b-4601,"Diagnoses - secondary ICD10: Z88.8 Personal history of allergy to other drugs, medicaments and biological substances",463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#Z888: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2694,460316,NA
12122,met-d-XXL_VLDL_PL,Phospholipids in chylomicrons and extremely large VLDL,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
12143,ukb-a-102,Non-cancer illness code  self-reported: diverticular disease/diverticulitis,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,3840,333319,NA
12156,ukb-d-XIV_GENITOURINARY,Diseases of the genitourinary system,361194,13586589,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,71620,289574,NA
12159,ukb-b-9019,Diagnoses - secondary ICD10: Z53.0 Procedure not carried out because of contraindication,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#Z530: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4779,458231,NA
12175,ukb-d-Z43,Diagnoses - main ICD10: Z43 Attention to artificial openings,361194,9864581,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1356,359838,NA
12180,ukb-d-N31,"Diagnoses - main ICD10: N31 Neuromuscular dysfunction of bladder, not elsewhere classified",361194,9417337,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1014,360180,NA
12181,ukb-b-11550,"Non-cancer illness code, self-reported: atrial fibrillation",462933,9851867,2018,MRC-IEU,Ben Elsworth,20002#1471: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3518,459415,NA
12186,ukb-d-L98,"Diagnoses - main ICD10: L98 Other disorders of skin and subcutaneous tissue, not elsewhere classified",361194,11712121,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,4035,357159,NA
12195,ukb-a-106,Non-cancer illness code  self-reported: osteoarthritis,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,28257,308902,NA
12196,ukb-d-20528,Diagnosed with life-threatening illness,117617,13571579,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,19291,98326,NA
12204,ukb-b-10756,Diagnoses - secondary ICD10: I20.0 Unstable angina,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#I200: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1543,461467,NA
12220,ukb-d-K11_HERNIA,Hernia,361194,13586589,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,26197,334997,NA
12221,ukb-b-19520,Arm fat-free mass (right),454753,9851867,2018,MRC-IEU,Ben Elsworth,23121: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
12222,ukb-b-17557,Types of transport used (excluding work): Cycle,460491,9851867,2018,MRC-IEU,Ben Elsworth,6162#4: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,33155,427336,NA
12237,ukb-b-12089,Treatment/medication code: mebeverine,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1140879428: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2271,460662,NA
12239,met-c-886,Total cholesterol in large VLDL,21235,11738380,2016,NA,Kettunen,L.VLDL.C. SD value comes from the original untransformed distribution of the ERF cohort,public,1,Males and Females,27005778,1,European,SD,HG19/GRCh37,Metabolites,Lipid,NA,NA,NA,0.44
12262,ukb-b-13106,Main speciality of consultant (recoded): Oral surgery,461171,9851867,2018,MRC-IEU,Ben Elsworth,41245#1630: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,11656,449515,NA
12269,ukb-b-19166,Operative procedures - main OPCS: X29.8 Other specified continuous Infusion of therapeutic substance,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#X298: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3902,459108,NA
12271,ukb-b-11045,"Diagnoses - secondary ICD10: M13.9 Arthritis, unspecified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#M139: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1477,461533,NA
12288,ukb-d-H7_RETINALDETACH,Retinal detachments and breaks,361194,11173645,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,3043,358151,NA
12289,ukb-b-20159,PCT where patients GP was registered: LIVERPOOL PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5NL: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4024,458986,NA
12293,ukb-a-576,Diagnoses - main ICD10: N40 Hyperplasia of prostate,337199,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,3140,334059,NA
12296,ukb-d-C_SKIN,Cancer of skin,361194,13586589,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,16531,344663,NA
12297,ukb-b-11133,PCT responsible for patient data: BARNSLEY PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41229#5JE: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1702,461308,NA
12303,ukb-d-20532,Did your sleep change?,57086,13557165,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,45540,11546,NA
12305,ukb-b-7385,Treatment/medication code: codeine,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1140884444: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2423,460510,NA
12310,ieu-b-39,diastolic blood pressure,757601,7160619,2018,International Consortium of Blood Pressure,"Evangelou, E",NA,public,1,Males and Females,30224653,0,European,NA,HG19/GRCh37,Continuous,Blood pressure,NA,NA,NA,NA
12325,ukb-b-20009,Diagnoses - secondary ICD10: R05 Cough,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#R05: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1072,461938,NA
12332,met-c-891,Phospholipids in large VLDL,21239,11722347,2016,NA,Kettunen,L.VLDL.PL; SD value comes from the original untransformed distribution of the ERF cohort,public,1,Males and Females,27005778,1,European,SD,HG19/GRCh37,Metabolites,Lipid,NA,NA,NA,0.4
12338,met-c-952,Triglycerides in very large VLDL,21548,11814232,2016,NA,Kettunen,XL.VLDL.TG; SD value comes from the original untransformed distribution of the ERF cohort,public,1,Males and Females,27005778,1,European,SD,HG19/GRCh37,Metabolites,Lipid,NA,NA,NA,0.56
12345,ukb-b-3370,Operation code: breast cyst/abscess removal,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1513: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4436,458497,NA
12349,ukb-b-14852,Treatment speciality of consultant (recoded): Infectious diseases,444018,9851867,2018,MRC-IEU,Ben Elsworth,41246#1660: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1990,442028,NA
12356,ukb-a-208,Illnesses of father: Diabetes,292053,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,28197,265210,NA
12384,ukb-b-8114,Treatment speciality of consultant (recoded): Nephrology,444092,9851867,2018,MRC-IEU,Ben Elsworth,41246#1800: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1703,442389,NA
12397,bbj-a-11,Blood urea nitrogen,139818,6108953,2019,NA,Ishigaki K,NA,public,1,Males and Females,29403010,0,East Asian,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
12402,ukb-b-2975,Cabbage/kale intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,104160: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
12413,ukb-a-19,Exposure to tobacco smoke at home,305723,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
12420,ukb-d-20550_1,"Activities undertaken to treat anxiety: Talking therapies, such as psychotherapy, counselling, group therapy or CBT",98990,13569194,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,12858,86132,NA
12425,ukb-b-5850,Types of spreads/sauces consumed: Cream,64949,9851867,2018,MRC-IEU,Ben Elsworth,20088#333: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2142,62807,NA
12429,ukb-b-621,Pulses intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,104010: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
12431,ukb-d-1538_1,"Major dietary changes in the last 5 years: Yes, because of illness",360294,13586569,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,38051,322243,NA
12433,ukb-a-343,Time from waking to first cigarette,23265,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
12439,ukb-b-1712,Job involves shift work,263315,9851867,2018,MRC-IEU,Ben Elsworth,826: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
12482,ukb-b-5011,Thickness of butter/margarine spread on bread rolls: medium,64949,9851867,2018,MRC-IEU,Ben Elsworth,20101#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2403,62546,NA
12488,ukb-d-I47,Diagnoses - main ICD10: I47 Paroxysmal tachycardia,361194,10299263,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1685,359509,NA
12489,ukb-a-284,Arm fat-free mass (right),331221,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
12491,ukb-d-R59,Diagnoses - main ICD10: R59 Enlarged lymph nodes,361194,9342835,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1011,360183,NA
12492,ukb-b-3698,PCT where patients GP was registered: KINGSTON PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5A5: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1263,461747,NA
12500,ukb-b-6027,Heel broadband ultrasound attenuation (right),146171,9851867,2018,MRC-IEU,Ben Elsworth,4120: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
12511,ukb-d-L12_SCARCONDITIONS,Scar conditions and fibrosis of skin,361194,9939754,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1476,359718,NA
12517,ukb-b-4772,Diagnoses - main ICD10: M72.04 Palmar fascial fibromatosis [Dupuytren]-Hand,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#M7204: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1537,461473,NA
12534,ukb-b-133,Hip pain for 3+ months,51516,9851867,2018,MRC-IEU,Ben Elsworth,3414: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,40152,11364,NA
12543,ukb-b-12026,Ever had same-sex intercourse,418120,9851867,2018,MRC-IEU,Ben Elsworth,2159: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,14480,403640,NA
12558,ukb-d-M13_DUPUTRYEN,Palmar fascial fibromatosis [Dupuytren],361194,11118624,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,2948,358246,NA
12568,ukb-a-186,Treatment/medication code: omacor 1g capsule,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,413,336746,NA
12569,ieu-a-1004,Age at menopause,69360,2418696,2015,ReproGen,Day,NA,public,1,Females,26414677,1,European,years,HG19/GRCh37,Risk factor,Reproductive aging,NA,NA,NA,3.93
12575,ukb-b-18336,"Seen a psychiatrist for nerves, anxiety, tension or depression",460702,9851867,2018,MRC-IEU,Ben Elsworth,2100: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,53414,407288,NA
12588,ukb-b-15983,Diagnoses - secondary ICD10: Z51.5 Palliative care,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#Z515: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1231,461779,NA
12590,met-d-XS_VLDL_P,Concentration of very small VLDL particles,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
12602,ukb-b-15907,Vitamin and/or mineral supplement use: Other vitamin,64949,9851867,2018,MRC-IEU,Ben Elsworth,20084#488: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2455,62494,NA
12608,met-d-S_LDL_C_pct,Cholesterol to total lipids ratio in small LDL,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
12626,met-d-Total_PL,Total phospholipids in lipoprotein particles,110058,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
12627,ebi-a-GCST004904,Body mass index,158284,5952516,2017,NA,Akiyama M,NA,public,1,NA,28892062,0,East Asian,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
12633,ukb-b-8687,PCT responsible for patient data: DERBY CITY PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41229#5N7: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1536,461474,NA
12636,ukb-b-129,Vitamin and/or mineral supplement use: Vitamin B6,64949,9851867,2018,MRC-IEU,Ben Elsworth,20084#476: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1478,63471,NA
12640,ukb-b-19805,Diagnoses - main ICD10: K62.1 Rectal polyp,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#K621: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2800,460210,NA
12659,ukb-d-M13_LIMBPAIN,Pain in limb,361194,11501520,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,3674,357520,NA
12660,ebi-a-GCST009762,Snoring,189971,10707886,2020,NA,Campos AI,NA,public,1,NA,32060260,0,European,NA,HG19/GRCh37,NA,NA,NA,90806,99165,NA
12662,ukb-b-5855,Carer support indicators: No,54277,9851867,2018,MRC-IEU,Ben Elsworth,41214#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,52130,2147,NA
12673,ukb-b-4526,6mm cylindrical power angle (left),83387,9851867,2018,MRC-IEU,Ben Elsworth,5113: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
12676,ukb-b-8092,"Diagnoses - secondary ICD10: Z92.4 Personal history of major surgery, not elsewhere classified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#Z924: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1039,461971,NA
12677,ukb-b-12440,"Intra-ocular pressure, Goldmann-correlated (left)",97465,9851867,2018,MRC-IEU,Ben Elsworth,5263: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
